resolve | determination | self-reliance | willfulness | protest 
data | information | ideas | beliefs | origin point
eddy | whirlpool | current | wave | wind
bough | branch | barricade | shaded area | fallen tree
heath | overgrown land | burned-over area | thin forest | pasture
scud | run straight | move slowly | falter | vaporize
williwaw | sudden windblast | rainsquall | songbird | meadow flower
verge | brink | middle path | bare ground | vantage point
dale | valley | retreat | shelter | plain
limpid | clear | still | flat | luminous
floe | floating ice | frozen stream | lump | driftwood
cascade | waterfall | thunder | swift current | edge
undulation | wavelike motion | faint motion | tidal motion | quivering
crag | steep rock | headland | barren hill | niche
truss | flower cluster | main stem | grass clump | fallen petals
slough | deep mire | quicksand | shower | erosion
lee | shelter | cove | grassland | riverbank
brackish | salty | dirty | rough | noisy
precipice | vertical rockface | wide gap | broken path | descent
chasm | deep fissure | wide opening | mountain pass | waterfall
sediment | bottom settling | floating | holding together | covering rocks
torrent | violent flow | drift | swell | deep sound
revamp | revise | lure | decorate | deceive
adhere | stick | return | trust | pay attention
abate | lessen | tease | fight | throw away
buffer | damage protection | amateur fight | bright light | small dog
sundries | unspecified articles | washables | cheap materials | leftovers
ad infinitum | endlessly | carelessly | indirectly | carefully
recoil | strong reaction | memory | threat | fear
concede | acknowledge | approve | connect | go forward
pantheon | gods temple | dance hall | jazz festival | art gallery
rile | annoy | cheer | hurt | confuse
vicariously | experienced imaginatively | gracefully | doubtfully | devotedly
nomad | wanderer | exile | loner | enemy
dexterity | nimbleness | insight | courage | versatility
bolster | support | soften | boast | sweeten
bracing | danger preparing | screaming | holding breath | closing eyes
conglomeration | accumulation | total | spongy | concoction | brawl
laconic | concise | shiftless | sad | harsh
sequester | set apart | punish | encircle | investigate
deplore | regret | lose heart | plead | pull apart
dilapidated | falling apart | hairless | in layers | noisy
acquisition | purchase | greediness | passive consent | inquiry
average down | buy lower | ease requirements | exchange | lower interest
demand deposit | bank deposit | certified cheque | bank holdup | credit card
diversify | variety | entertainment | consistency | equality
book value | depreciated cost | report | collectible | loan
convertible | interchangeable | nonspecific | backward | disposable
infringe | trespass | lie | increase | encircle
asset | property | profit | agreement | estimate
rebate | discount | tax | refund | debt payment
roll over | reinvest | avoid | pay out | negotiate
IPO | initial offering | international organization | inflation probability | in-depth proof
liquidity | cash | stock | real estate | gold
allocate | earmark | place | organize | select
mature | payable | low-grade | late | predictable
tycoon | powerful leader | sales rep | skilled worker | financial adviser
vested interest | special claim | financial transaction | illegal procedure | propaganda
divest | sell off | increase | alter | swindle
paradigm | model | discovery | limit | novelty
deduct | subtract | consider | end | weaken
reimburse | pay back | supplement | recoup | stop payment
stratagem | ruse | objective | disguise | orders
demarcation | boundary marking | outline | dismantling | barricade
pact | agreement | armistice | understanding | insurance
ordnance | guns | food | regulations | postings
flotilla | small fleet | coastal patrol | convoy | tugboat
signatory | signer | guarantor | commander | censor
skirmish | unplanned fight | nonfatal fight | abrupt fight | entrapment
adversarial | antagonistic | stubborn | reluctant | pugnacious
bivouac | camp | shelter | halting place | field
sovereignty | total authority | jurisdiction | absolute right | possession
reconnoitre | patrol | study | detect | post guards
vanguard | foremost part | protector | honour guard | early warning
placate | pacify | reorganize | give up | suffer
beret | round cap | flat-topped cap | wedge cap | helmet
martial | combat | instruction | parades | police duty
cordon | guard posts | unoccupied area | outpost | supply route
dicker | negotiate | compromise | withdraw | plead
quartermaster | lodging officer | security officer | combat records | equipment
brandish | wave | burn | expose | declare
sapper | engineers | chaplaincy | field hospital | transport unit
tidewater | coastal plain | salty water | sluggish water | fresh water
flotsam | objects | life preserver | person | dock
barnacle | shelled animal | old sailor | starfish | jellyfish
riptide | turbulent current | canal | high tide | tidal wave
scuba | diver equipment | underwater flora | fins | small fish
spindrift | sea spray | whirlpool | big waves | surfboard
waterspout | column if water | tidal pool | rising tide | ripple
mollusk | shellfish | sea flower | dune | break water
snorkel | breathing tube | shell collection | beach umbrella | dune buggy
sandpiper | shorebird | weird birdcall | diving bird | sand flea
algae | seaweed | sea horses | driftwood | coloured pebbles
shoal | shallow place | deep water | rocky shore | headland
conch | shell | water snake | beach chair | beach house
littoral | shore | beach trash | beach plum | beach treasures
seascape | sea picture | seaside getaway | sea adventure | coral reef
comber | breaker | beach cleanup | scavenger | pelican
aquaplane | towed board | seaplane | sandbar | channel
aquatic | water | rippling effect | sand castles | shifting sands
ebb | decline | undulate | disperse | advance
angler | fisherman | water snake | barracuda | sand sifter
methodical | orderly | ordinary | dull | deep
fantasize | imagine | endear | enlarge | lie
therapy | healing | heat | side dish | repeating melody
chronic | constant | severe | cranky | officially
pragmatic | practical | productive | overly fussy | wasteful
orate | speak | express anger | insult | sing
hoi polloi | common people | Hawaiian food | mass confusion | royalty
synthesize | combine | plastic object | create music | control
phobia | fear | virus | backache | lip
cataclysm | disaster | mixing machine | excitement | weakness
gastric | stomach | fuel | magic | nervous system
thesaurus | synonym book | flesh-eating dinosaur | argument | road map
ode | poem | heavy debt | sweet smell | surprise
eulogize | praise | shout | gush | gloss over
mania | craze | entertainment | cheerfulness | cleverness
anarchic | lawless | frozen | amazing | stingy
panacea | cure-all | widespread disease | gland | flashiness
ostracize | exclude | stretch out | tickle | reveal
theology | religion | idea | rules | Greek history
cathartic | cleansing | burning | demanding | rotting
nibble | snack | smother | chomp | pierce
delicacy | rare food | fragile crust | huge banquet | quiet dining
bland | flavourless | sour | syrupy | colourless
fillet | boneless meat | thin slice | small serving | casserole
starter | appetizer | pastry | salad | grilled vegetable
marinate | soak | strip | dry | burn
entree | main dish | waiting room | unfinished meal | special seasoning
in vogue | fashionable | whimsical | recipe | desirable
gorge | overeat | roast | freeze | thaw
morsel | small portion | saltwater fish | frying pan | chocolate
culinary | kitchen related | pantry related | diet related | barbecue related
mince | chop finely | add mints | mash | churn
succulent | tasty | oily | warm | rotten
gourmet | food expert | nauseated person | recreational cook | hungry person
knead | press | want | order | snap
confection | sweet food | oven type | mold | blender
alfresco | outdoor | powdery | strained | fancy
bisque | cream soup | buttered biscuit | tablecloth | cafeteria
masticate | chew | pour | gulp | boil
piquant | sharp | lumpy | steaming | runny
archeology | ancient societies | rare birds | masonry construction | myths
anthropology | human beings | insect behaviour | exotic flowers | island group
pathology | disease | emotions | philosophy | crime
psychology | mind science | nymphs | horror movies | evolving societies
gerontology | old people | medications | babies | family histories
gynecology | female health | habits | athletics | brain
numerology | numbers | events | animal signs | eclipses
neurology | nerves | bones | occult | antibodies
embryology | organism development | vital forces | sexuality | tidal deposits
endocrinology | glands | brains | heart inflammation | human formation
dermatology | skin | winged insects | moulds | radioactivity
hematology | blood | trauma | marine animals | parasites
astrology | star influence | space travel | earth origin | light
cosmology | universe | plastic surgery | asteroids | comets
cardiology | heart | gambling | breathing disorders | sounds
audiology | hearing | testing methods | performance | strength
sociology | human societies | aggression | organic structures | depression
physiology | body functions | education | energy | chemicals
etymology | word derivation | butterflies | dinosaurs | communication
entomology | insects | tombs | origins | ancient languages
disarming | removing suspicions | agitating | acting silly | pretending shyness
condescending | patronizing | sad | misleading | demanding
etiquette | customs |fussiness | snobbery | ignorance
civility | politeness | legal procedure | obedience | serenity
contempt | scorn | doubt | anger | persuasion
deportment | conduct | banishment | separation | lacking merit
conventional | traditional | logical | mediocre | assembled
esteem | respect | amuse | suspect | enjoy
pretentious | pompous | notorious | aboveboard | dignified
tolerant | open-minded | carefree | wishy-washy | judgemental
circumspect | careful | jolly | inclusive | bold
appropriate | suitable | requested | designated | uniform
modify | change slightly | appear humble | strengthen | shame
compassionate | sympathetic | friendly | intense | indifferent
social skill | act appropriately | be subtle | be kind | enjoy food
protocol | procedures | peace making | disarmament | statecraft
boorish | coarse | foreign | foolish | strong
prepossessing | attractive | flattering | arousing envy | greedy
gaffe | social blunder | humorous remark | mild warning | delicate suggestion
propriety | respectability | punctuality | honesty | fussiness
bombastic | pompous | weird | unstable | boring
outlandish | unconventional | daring | earthy | illogical
sanguine | confident | reflective | welcoming | sincere
facetious | joking | attentive | eager | complex
obsequious | polite | fussy | judgemental | anxious
epicurean | sensual | prudent | talented | adventurous
irascible | irritable | demanding | stubborn | lazy
egotistical | self-centered | unreliable | indecisive | spiteful
erudite | knowledgeable | religious | articulate | loyal
ostentatious | showy | exuberant | vulgar | bitter
diffident | reserved | stubborn | peculiar | brash
blithe | cheerful | intelligent | methodical | spirited
boorish | unrefined | disdainful | banal | boring
adroit | skillful | self-assured | wise | outgoing
forward | headstrong | educated | honest | righteous
nonchalant | indifferent | gallant | strict | selfish
decorous | mannerly | kind | creative | sophisticated
chary | cautious | stingy | passionate | sensitive
gruff | blunt | short-tempered | violent | pretty
obstreperous | unruly | mean | fanatical | antisocial
